id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,team,participants,wallclock,shootingPlay,coordinate,pointsAttempted,clockSec
40181004339,39,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Harrison Barnes bad pass (Herbert Jones steals),4,7,1,8:50,False,0,{'id': '24'},"[{'athlete': {'id': '6578'}}, {'athlete': {'id': '4277813'}}]",2025-11-09T01:14:34Z,False,"{'x': 12, 'y': 1}",0,530.0
40181004341,41,"{'id': '129', 'text': 'Running Finger Roll Layup'}",Devin Vassell blocks Jeremiah Fears 's 1-foot two point shot,4,7,1,8:45,False,0,{'id': '3'},"[{'athlete': {'id': '5144091'}}, {'athlete': {'id': '4395630'}}]",2025-11-09T01:14:39Z,True,"{'x': 24, 'y': 1}",2,525.0
40181004343,43,"{'id': '156', 'text': 'Offensive Rebound'}",Kevon Looney offensive rebound,4,7,1,8:40,False,0,{'id': '3'},[{'athlete': {'id': '3155535'}}],2025-11-09T01:14:44Z,False,"{'x': 24, 'y': 1}",0,520.0
40181004346,46,"{'id': '131', 'text': 'Pullup Jump Shot'}",Trey Murphy III makes 15-foot pullup jump shot (Saddiq Bey assists),6,7,1,8:34,True,2,{'id': '3'},"[{'athlete': {'id': '4397688'}}, {'athlete': {'id': '4397136'}}]",2025-11-09T01:14:59Z,True,"{'x': 9, 'y': 0}",2,514.0
40181004347,47,"{'id': '16', 'text': 'Full Timeout'}",Spurs Full timeout,6,7,1,8:34,False,0,{'id': '24'},,2025-11-09T01:15:09Z,False,"{'x': -214748340, 'y': -214748365}",0,514.0
40181004349,49,"{'id': '45', 'text': 'Personal Foul'}",Kevon Looney personal foul,6,7,1,8:22,False,0,{'id': '3'},[{'athlete': {'id': '3155535'}}],2025-11-09T01:18:07Z,False,"{'x': 29, 'y': 1}",0,502.0
40181004351,51,"{'id': '45', 'text': 'Personal Foul'}",Jeremiah Fears personal foul,6,7,1,8:18,False,0,{'id': '3'},[{'athlete': {'id': '5144091'}}],2025-11-09T01:18:27Z,False,"{'x': 22, 'y': 1}",0,498.0
40181004353,53,"{'id': '92', 'text': 'Jump Shot'}",Harrison Barnes makes 25-foot three point jumper (De'Aaron Fox assists),6,10,1,8:11,True,3,{'id': '24'},"[{'athlete': {'id': '6578'}}, {'athlete': {'id': '4066259'}}]",2025-11-09T01:18:49Z,True,"{'x': 44, 'y': 17}",3,491.0
40181004355,55,"{'id': '131', 'text': 'Pullup Jump Shot'}",Jeremiah Fears misses 18-foot pullup jump shot,6,10,1,7:57,False,0,{'id': '3'},[{'athlete': {'id': '5144091'}}],2025-11-09T01:19:02Z,True,"{'x': 29, 'y': 19}",2,477.0
40181004356,56,"{'id': '155', 'text': 'Defensive Rebound'}",Victor Wembanyama defensive rebound,6,10,1,7:54,False,0,{'id': '24'},[{'athlete': {'id': '5104157'}}],2025-11-09T01:19:05Z,False,"{'x': 29, 'y': 19}",0,474.0
40181004357,57,"{'id': '131', 'text': 'Pullup Jump Shot'}",Stephon Castle misses 25-foot three point pullup jump shot,6,10,1,7:48,False,0,{'id': '24'},[{'athlete': {'id': '4845367'}}],2025-11-09T01:19:11Z,True,"{'x': 34, 'y': 24}",3,468.0
