id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,pointsAttempted,shortDescription,team,participants,clockSec
401810187651,651,"{'id': '129', 'text': 'Running Finger Roll Layup'}",Bam Adebayo makes two point shot (Davion Mitchell assists),106,110,4,2:54,True,2,2025-12-04T03:40:55Z,True,"{'x': 23, 'y': 1}",2,+2 Points,{'id': '14'},"[{'athlete': {'id': '4066261'}}, {'athlete': {'id': '4278053'}}]",174.0
401810187653,653,"{'id': '148', 'text': 'Turnaround Fadeaway Bank Jump Shot'}",Anthony Davis makes 11-foot two point shot,106,112,4,2:30,True,2,2025-12-04T03:41:19Z,True,"{'x': 14, 'y': 1}",2,+2 Points,{'id': '6'},[{'athlete': {'id': '6583'}}],150.0
401810187654,654,"{'id': '126', 'text': 'Layup Driving Reverse'}",Andrew Wiggins misses two point shot,106,112,4,2:20,False,0,2025-12-04T03:41:28Z,True,"{'x': 24, 'y': 4}",2,Missed FG,{'id': '14'},[{'athlete': {'id': '3059319'}}],140.0
401810187655,655,"{'id': '155', 'text': 'Defensive Rebound'}",Naji Marshall defensive rebound,106,112,4,2:20,False,0,2025-12-04T03:41:28Z,False,"{'x': 24, 'y': 4}",0,Rebound,{'id': '6'},[{'athlete': {'id': '4278594'}}],140.0
401810187656,656,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Cooper Flagg makes 10-foot two point shot (Naji Marshall assists),106,114,4,1:59,True,2,2025-12-04T03:41:49Z,True,"{'x': 25, 'y': 11}",2,+2 Points,{'id': '6'},"[{'athlete': {'id': '5041939'}}, {'athlete': {'id': '4278594'}}]",119.0
401810187658,658,"{'id': '120', 'text': 'Turnaround Hook Shot'}",Cooper Flagg blocks Andrew Wiggins 's 6-foot two point shot,106,114,4,1:49,False,0,2025-12-04T03:42:04Z,True,"{'x': 26, 'y': 7}",2,Missed FG,{'id': '14'},"[{'athlete': {'id': '3059319'}}, {'athlete': {'id': '5041939'}}]",109.0
401810187660,660,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Davis defensive rebound,106,114,4,1:46,False,0,2025-12-04T03:42:07Z,False,"{'x': 26, 'y': 7}",0,Rebound,{'id': '6'},[{'athlete': {'id': '6583'}}],106.0
401810187661,661,"{'id': '141', 'text': 'Cutting Layup Shot'}",Cooper Flagg makes 2-foot layup (Anthony Davis assists),106,116,4,1:25,True,2,2025-12-04T03:42:29Z,True,"{'x': 25, 'y': 2}",2,+2 Points,{'id': '6'},"[{'athlete': {'id': '5041939'}}, {'athlete': {'id': '6583'}}]",85.0
401810187663,663,"{'id': '16', 'text': 'Full Timeout'}",Heat Full timeout,106,116,4,1:25,False,0,2025-12-04T03:42:34Z,False,"{'x': -214748340, 'y': -214748365}",0,Timeout,{'id': '14'},,85.0
401810187664,664,"{'id': '131', 'text': 'Pullup Jump Shot'}",Tyler Herro misses 27-foot three point pullup jump shot,106,116,4,1:21,False,0,2025-12-04T03:44:32Z,True,"{'x': 23, 'y': 28}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '4395725'}}],81.0
401810187665,665,"{'id': '156', 'text': 'Offensive Rebound'}",Andrew Wiggins offensive rebound,106,116,4,1:20,False,0,2025-12-04T03:44:33Z,False,"{'x': 23, 'y': 28}",0,Rebound,{'id': '14'},[{'athlete': {'id': '3059319'}}],80.0
401810187666,666,"{'id': '94', 'text': 'Tip Shot'}",Andrew Wiggins misses tip shot,106,116,4,1:19,False,0,2025-12-04T03:44:37Z,True,"{'x': 25, 'y': 0}",2,Missed FG,{'id': '14'},[{'athlete': {'id': '3059319'}}],79.0
401810187667,667,"{'id': '156', 'text': 'Offensive Rebound'}",Andrew Wiggins offensive rebound,106,116,4,1:18,False,0,2025-12-04T03:44:38Z,False,"{'x': 25, 'y': 0}",0,Rebound,{'id': '14'},[{'athlete': {'id': '3059319'}}],78.0
401810187668,668,"{'id': '94', 'text': 'Tip Shot'}",Andrew Wiggins makes tip shot,108,116,4,1:18,True,2,2025-12-04T03:44:37Z,True,"{'x': 25, 'y': 0}",2,+2 Points,{'id': '14'},[{'athlete': {'id': '3059319'}}],78.0
401810187669,669,"{'id': '111', 'text': 'Alley Oop Layup Shot'}",Anthony Davis makes alley oop layup (Max Christie assists),108,118,4,58.1,True,2,2025-12-04T03:45:07Z,True,"{'x': 26, 'y': 2}",2,+2 Points,{'id': '6'},"[{'athlete': {'id': '6583'}}, {'athlete': {'id': '4432582'}}]",58.1
401810187671,671,"{'id': '92', 'text': 'Jump Shot'}",Bam Adebayo misses 26-foot three point jumper,108,118,4,48.9,False,0,2025-12-04T03:45:19Z,True,"{'x': 5, 'y': 18}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '4066261'}}],48.9
401810187672,672,"{'id': '155', 'text': 'Defensive Rebound'}",Anthony Davis defensive rebound,108,118,4,45.6,False,0,2025-12-04T03:45:22Z,False,"{'x': 5, 'y': 18}",0,Rebound,{'id': '6'},[{'athlete': {'id': '6583'}}],45.6
401810187673,673,"{'id': '132', 'text': 'Step Back Jump Shot'}",Ryan Nembhard misses 21-foot step back jumpshot,108,118,4,24.2,False,0,2025-12-04T03:45:43Z,True,"{'x': 18, 'y': 20}",2,Missed FG,{'id': '6'},[{'athlete': {'id': '4433629'}}],24.2
401810187674,674,"{'id': '155', 'text': 'Defensive Rebound'}",Bam Adebayo defensive rebound,108,118,4,20.8,False,0,2025-12-04T03:45:47Z,False,"{'x': 18, 'y': 20}",0,Rebound,{'id': '14'},[{'athlete': {'id': '4066261'}}],20.8
401810187675,675,"{'id': '131', 'text': 'Pullup Jump Shot'}",Bam Adebayo misses 27-foot three point pullup jump shot,108,118,4,8.8,False,0,2025-12-04T03:45:59Z,True,"{'x': 6, 'y': 19}",3,Missed 3PT,{'id': '14'},[{'athlete': {'id': '4066261'}}],8.8
401810187676,676,"{'id': '155', 'text': 'Defensive Rebound'}",Ryan Nembhard defensive rebound,108,118,4,5.2,False,0,2025-12-04T03:46:02Z,False,"{'x': 6, 'y': 19}",0,Rebound,{'id': '6'},[{'athlete': {'id': '4433629'}}],5.2
401810187679,679,"{'id': '412', 'text': 'End Period'}",End of the 4th Quarter,108,118,4,0.0,False,0,2025-12-04T03:46:36Z,False,"{'x': -214748340, 'y': -214748365}",0,End of 4th,,,0.0
401810187680,680,"{'id': '402', 'text': 'End Game'}",End of Game,108,118,4,0.0,False,0,2025-12-04T03:46:38Z,False,"{'x': -214748340, 'y': -214748365}",0,End of Game,,,0.0
