id,sequenceNumber,type,text,awayScore,homeScore,period,clock,scoringPlay,scoreValue,wallclock,shootingPlay,coordinate,team,participants,clockSec
401705041434,434,"{'id': '155', 'text': 'Defensive Rebound'}",Devin Vassell defensive rebound,79,81,3,4:24,False,0,2025-01-04T03:32:20Z,False,"{'x': 9, 'y': 21}",{'id': '24'},[{'athlete': {'id': '4395630'}}],264.0
401705041435,435,"{'id': '92', 'text': 'Jump Shot'}",Zach Collins misses 25-foot three point jumper,79,81,3,4:14,False,0,2025-01-04T03:32:31Z,True,"{'x': 28, 'y': 26}",{'id': '24'},[{'athlete': {'id': '4066650'}}],254.0
401705041436,436,"{'id': '155', 'text': 'Defensive Rebound'}",Russell Westbrook defensive rebound,79,81,3,4:11,False,0,2025-01-04T03:32:34Z,False,"{'x': 28, 'y': 26}",{'id': '7'},[{'athlete': {'id': '3468'}}],251.0
401705041437,437,"{'id': '45', 'text': 'Personal Foul'}",Zach Collins personal foul,79,81,3,4:11,False,0,2025-01-04T03:32:42Z,False,"{'x': 40, 'y': 26}",{'id': '24'},[{'athlete': {'id': '4066650'}}],251.0
401705041439,439,"{'id': '584', 'text': 'Substitution'}",Peyton Watson enters the game for Michael Porter Jr.,79,81,3,4:11,False,0,2025-01-04T03:32:50Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '4576087'}}, {'athlete': {'id': '4278104'}}]",251.0
401705041441,441,"{'id': '44', 'text': 'Shooting Foul'}",Zach Collins shooting foul,79,81,3,4:01,False,0,2025-01-04T03:33:13Z,False,"{'x': 27, 'y': 27}",{'id': '24'},[{'athlete': {'id': '4066650'}}],241.0
401705041443,443,"{'id': '100', 'text': 'Free Throw - 1 of 3'}",Nikola Jokic misses free throw 1 of 3,79,81,3,4:01,False,0,2025-01-04T03:33:35Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '7'},[{'athlete': {'id': '3112335'}}],241.0
401705041444,444,"{'id': '156', 'text': 'Offensive Rebound'}",Nuggets offensive team rebound,79,81,3,4:01,False,0,2025-01-04T03:33:35Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},,241.0
401705041445,445,"{'id': '101', 'text': 'Free Throw - 2 of 3'}",Nikola Jokic makes free throw 2 of 3,79,82,3,4:01,True,1,2025-01-04T03:33:50Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '7'},[{'athlete': {'id': '3112335'}}],241.0
401705041446,446,"{'id': '102', 'text': 'Free Throw - 3 of 3'}",Nikola Jokic makes free throw 3 of 3,79,83,3,4:01,True,1,2025-01-04T03:34:06Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '7'},[{'athlete': {'id': '3112335'}}],241.0
401705041447,447,"{'id': '44', 'text': 'Shooting Foul'}",Russell Westbrook shooting foul,79,83,3,3:50,False,0,2025-01-04T03:34:26Z,False,"{'x': 22, 'y': 6}",{'id': '7'},[{'athlete': {'id': '3468'}}],230.0
401705041449,449,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Devin Vassell misses free throw 1 of 2,79,83,3,3:50,False,0,2025-01-04T03:34:52Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '24'},[{'athlete': {'id': '4395630'}}],230.0
401705041450,450,"{'id': '156', 'text': 'Offensive Rebound'}",Spurs offensive team rebound,79,83,3,3:50,False,0,2025-01-04T03:34:52Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},,230.0
401705041451,451,"{'id': '584', 'text': 'Substitution'}",Jamal Murray enters the game for Russell Westbrook,79,83,3,3:50,False,0,2025-01-04T03:34:53Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '3936299'}}, {'athlete': {'id': '3468'}}]",230.0
401705041452,452,"{'id': '584', 'text': 'Substitution'}",Tre Jones enters the game for Chris Paul,79,83,3,3:50,False,0,2025-01-04T03:34:53Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '24'},"[{'athlete': {'id': '4395626'}}, {'athlete': {'id': '2779'}}]",230.0
401705041455,455,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Devin Vassell makes free throw 2 of 2,80,83,3,3:50,True,1,2025-01-04T03:35:17Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '24'},[{'athlete': {'id': '4395630'}}],230.0
401705041456,456,"{'id': '137', 'text': 'Turnaround Fade Away Jump Shot'}",Nikola Jokic makes 9-foot two point shot (Peyton Watson assists),80,85,3,3:26,True,2,2025-01-04T03:35:41Z,True,"{'x': 33, 'y': 4}",{'id': '7'},"[{'athlete': {'id': '3112335'}}, {'athlete': {'id': '4576087'}}]",206.0
401705041458,458,"{'id': '44', 'text': 'Shooting Foul'}",Julian Strawther shooting foul,80,85,3,3:17,False,0,2025-01-04T03:35:53Z,False,"{'x': 27, 'y': 6}",{'id': '7'},[{'athlete': {'id': '4432181'}}],197.0
401705041460,460,"{'id': '98', 'text': 'Free Throw - 1 of 2'}",Devin Vassell makes free throw 1 of 2,81,85,3,3:17,True,1,2025-01-04T03:36:16Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '24'},[{'athlete': {'id': '4395630'}}],197.0
401705041461,461,"{'id': '99', 'text': 'Free Throw - 2 of 2'}",Devin Vassell makes free throw 2 of 2,82,85,3,3:17,True,1,2025-01-04T03:36:36Z,True,"{'x': -214748340, 'y': -214748365}",{'id': '24'},[{'athlete': {'id': '4395630'}}],197.0
401705041462,462,"{'id': '128', 'text': 'Driving Finger Roll Layup'}",Nikola Jokic makes 3-foot two point shot (Jamal Murray assists),82,87,3,3:00,True,2,2025-01-04T03:36:54Z,True,"{'x': 26, 'y': 4}",{'id': '7'},"[{'athlete': {'id': '3112335'}}, {'athlete': {'id': '3936299'}}]",180.0
401705041464,464,"{'id': '92', 'text': 'Jump Shot'}",Julian Champagnie makes 24-foot three point jumper (Devin Vassell assists),85,87,3,2:45,True,3,2025-01-04T03:37:09Z,True,"{'x': 1, 'y': 4}",{'id': '24'},"[{'athlete': {'id': '4592479'}}, {'athlete': {'id': '4395630'}}]",165.0
401705041466,466,"{'id': '92', 'text': 'Jump Shot'}",Christian Braun misses 26-foot three point jumper,85,87,3,2:29,False,0,2025-01-04T03:37:24Z,True,"{'x': 8, 'y': 20}",{'id': '7'},[{'athlete': {'id': '4431767'}}],149.0
401705041467,467,"{'id': '155', 'text': 'Defensive Rebound'}",Devin Vassell defensive rebound,85,87,3,2:26,False,0,2025-01-04T03:37:27Z,False,"{'x': 8, 'y': 20}",{'id': '24'},[{'athlete': {'id': '4395630'}}],146.0
401705041468,468,"{'id': '131', 'text': 'Pullup Jump Shot'}",Devin Vassell makes 13-foot pullup jump shot,87,87,3,2:16,True,2,2025-01-04T03:37:38Z,True,"{'x': 24, 'y': 14}",{'id': '24'},[{'athlete': {'id': '4395630'}}],136.0
401705041469,469,"{'id': '120', 'text': 'Turnaround Hook Shot'}",Nikola Jokic misses 1-foot two point shot,87,87,3,1:52,False,0,2025-01-04T03:38:01Z,True,"{'x': 25, 'y': 2}",{'id': '7'},[{'athlete': {'id': '3112335'}}],112.0
401705041470,470,"{'id': '155', 'text': 'Defensive Rebound'}",Keldon Johnson defensive rebound,87,87,3,1:50,False,0,2025-01-04T03:38:03Z,False,"{'x': 25, 'y': 2}",{'id': '24'},[{'athlete': {'id': '4395723'}}],110.0
401705041471,471,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Keldon Johnson bad pass (Julian Strawther steals),87,87,3,1:41,False,0,2025-01-04T03:38:13Z,False,"{'x': 17, 'y': 11}",{'id': '24'},"[{'athlete': {'id': '4395723'}}, {'athlete': {'id': '4432181'}}]",101.0
401705041473,473,"{'id': '109', 'text': 'Running Layup Shot'}",Zach Collins blocks Christian Braun 's 3-foot two point shot,87,87,3,1:36,False,0,2025-01-04T03:38:19Z,True,"{'x': 25, 'y': 4}",{'id': '7'},"[{'athlete': {'id': '4431767'}}, {'athlete': {'id': '4066650'}}]",96.0
401705041475,475,"{'id': '156', 'text': 'Offensive Rebound'}",Nuggets offensive team rebound,87,87,3,1:36,False,0,2025-01-04T03:38:19Z,False,"{'x': 25, 'y': 4}",{'id': '7'},,96.0
401705041477,477,"{'id': '16', 'text': 'Full Timeout'}",Nuggets Full timeout,87,87,3,1:36,False,0,2025-01-04T03:38:28Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},,96.0
401705041478,478,"{'id': '584', 'text': 'Substitution'}",Michael Porter Jr. enters the game for Christian Braun,87,87,3,1:36,False,0,2025-01-04T03:40:56Z,False,"{'x': -214748340, 'y': -214748365}",{'id': '7'},"[{'athlete': {'id': '4278104'}}, {'athlete': {'id': '4431767'}}]",96.0
401705041480,480,"{'id': '92', 'text': 'Jump Shot'}",Nikola Jokic misses 27-foot three point jumper,87,87,3,1:26,False,0,2025-01-04T03:41:26Z,True,"{'x': 30, 'y': 27}",{'id': '7'},[{'athlete': {'id': '3112335'}}],86.0
401705041481,481,"{'id': '156', 'text': 'Offensive Rebound'}",Peyton Watson offensive rebound,87,87,3,1:24,False,0,2025-01-04T03:41:28Z,False,"{'x': 30, 'y': 27}",{'id': '7'},[{'athlete': {'id': '4576087'}}],84.0
401705041482,482,"{'id': '62', 'text': 'Bad Pass\nTurnover'}",Jamal Murray bad pass (Zach Collins steals),87,87,3,1:20,False,0,2025-01-04T03:41:33Z,False,"{'x': 28, 'y': 20}",{'id': '7'},"[{'athlete': {'id': '3936299'}}, {'athlete': {'id': '4066650'}}]",80.0
401705041484,484,"{'id': '146', 'text': 'Running Pullup Jump Shot'}",Devin Vassell misses running pullup jump shot,87,87,3,1:15,False,0,2025-01-04T03:41:38Z,True,"{'x': 42, 'y': 20}",{'id': '24'},[{'athlete': {'id': '4395630'}}],75.0
401705041485,485,"{'id': '156', 'text': 'Offensive Rebound'}",Tre Jones offensive rebound,87,87,3,1:11,False,0,2025-01-04T03:41:41Z,False,"{'x': 42, 'y': 20}",{'id': '24'},[{'athlete': {'id': '4395626'}}],71.0
401705041486,486,"{'id': '110', 'text': 'Driving Layup Shot'}",Keldon Johnson misses driving layup,87,87,3,1:08,False,0,2025-01-04T03:41:45Z,True,"{'x': 28, 'y': 5}",{'id': '24'},[{'athlete': {'id': '4395723'}}],68.0
401705041487,487,"{'id': '155', 'text': 'Defensive Rebound'}",Nikola Jokic defensive rebound,87,87,3,1:08,False,0,2025-01-04T03:41:45Z,False,"{'x': 28, 'y': 5}",{'id': '7'},[{'athlete': {'id': '3112335'}}],68.0
401705041488,488,"{'id': '113', 'text': 'Running Jump Shot'}",Michael Porter Jr. makes 25-foot three point shot (Jamal Murray assists),87,90,3,1:01,True,3,2025-01-04T03:41:52Z,True,"{'x': 8, 'y': 18}",{'id': '7'},"[{'athlete': {'id': '4278104'}}, {'athlete': {'id': '3936299'}}]",61.0
