game_id,game_date,home_team,away_team,location,date,hour,game_string,away_score,home_score
401705242,31/01/2025,Memphis Grizzlies,Houston Rockets,FedExForum,31/01/2025,02:30 UTC,"Houston Rockets vs Memphis Grizzlies @ FedExForum, 2025-01-31 02:30 UTC",119.0,120.0
401705243,31/01/2025,Utah Jazz,Minnesota Timberwolves,Delta Center,31/01/2025,02:00 UTC,"Minnesota Timberwolves vs Utah Jazz @ Delta Center, 2025-01-31 02:00 UTC",138.0,113.0
401705244,31/01/2025,Portland Trail Blazers,Orlando Magic,Moda Center,31/01/2025,03:00 UTC,"Orlando Magic vs Portland Trail Blazers @ Moda Center, 2025-01-31 03:00 UTC",90.0,119.0
401705245,01/02/2025,Charlotte Hornets,LA Clippers,Spectrum Center,01/02/2025,00:00 UTC,"LA Clippers vs Charlotte Hornets @ Spectrum Center, 2025-02-01 00:00 UTC",112.0,104.0
401705246,01/02/2025,Detroit Pistons,Dallas Mavericks,Little Caesars Arena,01/02/2025,00:00 UTC,"Dallas Mavericks vs Detroit Pistons @ Little Caesars Arena, 2025-02-01 00:00 UTC",102.0,117.0
401705247,01/02/2025,Philadelphia 76ers,Denver Nuggets,Wells Fargo Center,01/02/2025,00:30 UTC,"Denver Nuggets vs Philadelphia 76ers @ Wells Fargo Center, 2025-02-01 00:30 UTC",137.0,134.0
401705248,01/02/2025,Toronto Raptors,Chicago Bulls,Scotiabank Arena,01/02/2025,00:30 UTC,"Chicago Bulls vs Toronto Raptors @ Scotiabank Arena, 2025-02-01 00:30 UTC",122.0,106.0
401705249,01/02/2025,New Orleans Pelicans,Boston Celtics,Smoothie King Center,01/02/2025,01:00 UTC,"Boston Celtics vs New Orleans Pelicans @ Smoothie King Center, 2025-02-01 01:00 UTC",118.0,116.0
401705250,01/02/2025,San Antonio Spurs,Milwaukee Bucks,Frost Bank Center,01/02/2025,01:00 UTC,"Milwaukee Bucks vs San Antonio Spurs @ Frost Bank Center, 2025-02-01 01:00 UTC",118.0,144.0
401705251,01/02/2025,Golden State Warriors,Phoenix Suns,Chase Center,01/02/2025,03:00 UTC,"Phoenix Suns vs Golden State Warriors @ Chase Center, 2025-02-01 03:00 UTC",130.0,105.0
401705252,01/02/2025,Indiana Pacers,Atlanta Hawks,Gainbridge Fieldhouse,01/02/2025,22:00 UTC,"Atlanta Hawks vs Indiana Pacers @ Gainbridge Fieldhouse, 2025-02-01 22:00 UTC",127.0,132.0
401705253,01/02/2025,Utah Jazz,Orlando Magic,Delta Center,01/02/2025,22:00 UTC,"Orlando Magic vs Utah Jazz @ Delta Center, 2025-02-01 22:00 UTC",99.0,113.0
401705254,02/02/2025,Charlotte Hornets,Denver Nuggets,Spectrum Center,02/02/2025,00:00 UTC,"Denver Nuggets vs Charlotte Hornets @ Spectrum Center, 2025-02-02 00:00 UTC",107.0,104.0
401705255,02/02/2025,Houston Rockets,Brooklyn Nets,Toyota Center (Houston),02/02/2025,01:00 UTC,"Brooklyn Nets vs Houston Rockets @ Toyota Center (Houston), 2025-02-02 01:00 UTC",110.0,98.0
401705256,02/02/2025,Minnesota Timberwolves,Washington Wizards,Target Center,02/02/2025,01:00 UTC,"Washington Wizards vs Minnesota Timberwolves @ Target Center, 2025-02-02 01:00 UTC",105.0,103.0
401705257,02/02/2025,Oklahoma City Thunder,Sacramento Kings,Paycom Center,02/02/2025,01:00 UTC,"Sacramento Kings vs Oklahoma City Thunder @ Paycom Center, 2025-02-02 01:00 UTC",110.0,144.0
401705258,02/02/2025,New York Knicks,Los Angeles Lakers,Madison Square Garden,02/02/2025,01:30 UTC,"Los Angeles Lakers vs New York Knicks @ Madison Square Garden, 2025-02-02 01:30 UTC",128.0,112.0
401705259,02/02/2025,San Antonio Spurs,Miami Heat,Frost Bank Center,02/02/2025,01:30 UTC,"Miami Heat vs San Antonio Spurs @ Frost Bank Center, 2025-02-02 01:30 UTC",105.0,103.0
401705260,02/02/2025,Portland Trail Blazers,Phoenix Suns,Moda Center,02/02/2025,03:00 UTC,"Phoenix Suns vs Portland Trail Blazers @ Moda Center, 2025-02-02 03:00 UTC",108.0,127.0
401705261,02/02/2025,Detroit Pistons,Chicago Bulls,Little Caesars Arena,02/02/2025,20:00 UTC,"Chicago Bulls vs Detroit Pistons @ Little Caesars Arena, 2025-02-02 20:00 UTC",119.0,127.0
401705262,02/02/2025,Cleveland Cavaliers,Dallas Mavericks,Rocket Arena,02/02/2025,20:30 UTC,"Dallas Mavericks vs Cleveland Cavaliers @ Rocket Arena, 2025-02-02 20:30 UTC",101.0,144.0
401705263,02/02/2025,Toronto Raptors,LA Clippers,Scotiabank Arena,02/02/2025,20:30 UTC,"LA Clippers vs Toronto Raptors @ Scotiabank Arena, 2025-02-02 20:30 UTC",108.0,115.0
401705264,02/02/2025,Philadelphia 76ers,Boston Celtics,Wells Fargo Center,02/02/2025,23:00 UTC,"Boston Celtics vs Philadelphia 76ers @ Wells Fargo Center, 2025-02-02 23:00 UTC",118.0,110.0
401705265,03/02/2025,Milwaukee Bucks,Memphis Grizzlies,Fiserv Forum,03/02/2025,01:30 UTC,"Memphis Grizzlies vs Milwaukee Bucks @ Fiserv Forum, 2025-02-03 01:30 UTC",132.0,119.0
401705266,04/02/2025,Charlotte Hornets,Washington Wizards,Spectrum Center,04/02/2025,00:00 UTC,"Washington Wizards vs Charlotte Hornets @ Spectrum Center, 2025-02-04 00:00 UTC",124.0,114.0
401705267,04/02/2025,Detroit Pistons,Atlanta Hawks,Little Caesars Arena,04/02/2025,00:00 UTC,"Atlanta Hawks vs Detroit Pistons @ Little Caesars Arena, 2025-02-04 00:00 UTC",132.0,130.0
401705268,04/02/2025,New York Knicks,Houston Rockets,Madison Square Garden,04/02/2025,00:30 UTC,"Houston Rockets vs New York Knicks @ Madison Square Garden, 2025-02-04 00:30 UTC",118.0,124.0
401705269,04/02/2025,Memphis Grizzlies,San Antonio Spurs,FedExForum,04/02/2025,01:50 UTC,"San Antonio Spurs vs Memphis Grizzlies @ FedExForum, 2025-02-04 01:50 UTC",109.0,128.0
401705270,04/02/2025,Minnesota Timberwolves,Sacramento Kings,Target Center,04/02/2025,01:00 UTC,"Sacramento Kings vs Minnesota Timberwolves @ Target Center, 2025-02-04 01:00 UTC",116.0,114.0
401705271,04/02/2025,Oklahoma City Thunder,Milwaukee Bucks,Paycom Center,04/02/2025,01:00 UTC,"Milwaukee Bucks vs Oklahoma City Thunder @ Paycom Center, 2025-02-04 01:00 UTC",96.0,125.0
401705272,04/02/2025,Denver Nuggets,New Orleans Pelicans,Ball Arena,04/02/2025,02:00 UTC,"New Orleans Pelicans vs Denver Nuggets @ Ball Arena, 2025-02-04 02:00 UTC",113.0,125.0
401705273,04/02/2025,Utah Jazz,Indiana Pacers,Delta Center,04/02/2025,02:00 UTC,"Indiana Pacers vs Utah Jazz @ Delta Center, 2025-02-04 02:00 UTC",112.0,111.0
401705274,04/02/2025,Golden State Warriors,Orlando Magic,Chase Center,04/02/2025,03:00 UTC,"Orlando Magic vs Golden State Warriors @ Chase Center, 2025-02-04 03:00 UTC",99.0,104.0
401705275,04/02/2025,Portland Trail Blazers,Phoenix Suns,Moda Center,04/02/2025,03:00 UTC,"Phoenix Suns vs Portland Trail Blazers @ Moda Center, 2025-02-04 03:00 UTC",119.0,121.0
401705276,05/02/2025,Cleveland Cavaliers,Boston Celtics,Rocket Arena,05/02/2025,00:30 UTC,"Boston Celtics vs Cleveland Cavaliers @ Rocket Arena, 2025-02-05 00:30 UTC",112.0,105.0
